Model,MSO4104
Firmware Version,2.26

Point Format,Y
Horizontal Units,S
Horizontal Scale,2e-07
Sample Interval,2e-10
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Label,
TIME,CH1
-9.2640e-07,0.06
-9.2620e-07,0.06
-9.2600e-07,0.06
-9.2580e-07,0.06
-9.2560e-07,0.06
-9.2540e-07,0.1
-9.2520e-07,0.06
-9.2500e-07,0.06
-9.2480e-07,0.06
-9.2460e-07,0.06
-9.2440e-07,0.06
-9.2420e-07,0.02
-9.2400e-07,0.06
-9.2380e-07,0.06
-9.2360e-07,0.06
-9.2340e-07,0.06
-9.2320e-07,0.06
-9.2300e-07,0.06
-9.2280e-07,0.1
-9.2260e-07,0.1
-9.2240e-07,0.1
-9.2220e-07,0.06
-9.2200e-07,0.06
-9.2180e-07,0.1
-9.2160e-07,0.06
-9.2140e-07,0.06
-9.2120e-07,0.06
-9.2100e-07,0.02
-9.2080e-07,0.06
-9.2060e-07,0.1
-9.2040e-07,0.06
-9.2020e-07,0.06
-9.2000e-07,0.06
-9.1980e-07,0.06
-9.1960e-07,0.02
-9.1940e-07,0.02
-9.1920e-07,0.06
-9.1900e-07,0.06
-9.1880e-07,0.06
-9.1860e-07,0.06
-9.1840e-07,0.06
-9.1820e-07,0.02
-9.1800e-07,0.06
-9.1780e-07,0.14
-9.1760e-07,0.1
-9.1740e-07,0.06
-9.1720e-07,0.02
-9.1700e-07,0.02
-9.1680e-07,0.06
-9.1660e-07,0.06
-9.1640e-07,0.06
-9.1620e-07,0.06
-9.1600e-07,0.06
-9.1580e-07,0.06
-9.1560e-07,0.06
-9.1540e-07,0.06
-9.1520e-07,0.14
-9.1500e-07,0.1
-9.1480e-07,0.06
-9.1460e-07,0.06
-9.1440e-07,0.06
-9.1420e-07,0.06
-9.1400e-07,0.06
-9.1380e-07,0.06
-9.1360e-07,0.1
-9.1340e-07,0.06
-9.1320e-07,0.1
-9.1300e-07,0.1
-9.1280e-07,0.02
-9.1260e-07,0.06
-9.1240e-07,0.06
-9.1220e-07,0.06
-9.1200e-07,0.06
-9.1180e-07,0.1
-9.1160e-07,0.1
-9.1140e-07,0.02
-9.1120e-07,0.06
-9.1100e-07,0.1
-9.1080e-07,0.06
-9.1060e-07,0.06
-9.1040e-07,0.06
-9.1020e-07,0.06
-9.1000e-07,0.02
-9.0980e-07,0.06
-9.0960e-07,0.02
-9.0940e-07,0.06
-9.0920e-07,0.06
-9.0900e-07,0.1
-9.0880e-07,0.02
-9.0860e-07,0.06
-9.0840e-07,0.1
-9.0820e-07,0.06
-9.0800e-07,0.06
-9.0780e-07,0.02
-9.0760e-07,0.06
-9.0740e-07,0.02
-9.0720e-07,0.06
-9.0700e-07,0.1
-9.0680e-07,0.06
-9.0660e-07,0.06
-9.0640e-07,0.02
-9.0620e-07,0.06
-9.0600e-07,0.06
-9.0580e-07,0.06
-9.0560e-07,0.02
-9.0540e-07,0.1
-9.0520e-07,0.06
-9.0500e-07,0.02
-9.0480e-07,0.02
-9.0460e-07,0.02
-9.0440e-07,0.06
-9.0420e-07,0.1
-9.0400e-07,0.06
-9.0380e-07,0.02
-9.0360e-07,0.06
-9.0340e-07,0.06
-9.0320e-07,0.02
-9.0300e-07,0.02
-9.0280e-07,0.06
-9.0260e-07,0.06
-9.0240e-07,0.02
-9.0220e-07,0.1
-9.0200e-07,0.06
-9.0180e-07,0.02
-9.0160e-07,0.06
-9.0140e-07,0.06
-9.0120e-07,0.06
-9.0100e-07,0.1
-9.0080e-07,0.1
-9.0060e-07,0.1
-9.0040e-07,0.1
-9.0020e-07,0.06
-9.0000e-07,0.02
-8.9980e-07,0.06
-8.9960e-07,0.06
-8.9940e-07,0.02
-8.9920e-07,0.06
-8.9900e-07,0.06
-8.9880e-07,0.06
-8.9860e-07,0.1
-8.9840e-07,0.02
-8.9820e-07,0.06
-8.9800e-07,0.02
-8.9780e-07,0.02
-8.9760e-07,0.06
-8.9740e-07,0.02
-8.9720e-07,0.06
-8.9700e-07,0.06
-8.9680e-07,0.06
-8.9660e-07,0.06
-8.9640e-07,0.06
-8.9620e-07,0.06
-8.9600e-07,0.06
-8.9580e-07,0.14
